ID_FAB,NOM_FAB,DIR_FAB,TEL_FAB,EML_FAB
1,"Ponce, Diaz and Romero","Diagonal Constitución N° 47 Dto. 8, Formosa 3600, Formosa",+54 9 3929 6899,almaromero@example.com
2,Ruiz and Sons,"Calle G. Brown N° 7392, Corrientes 3400, Corrientes",+54 9 3831 2609,uflores@example.net
3,Correa-Ojeda,"Calle 8 N° 29 Torre 9 Dto. 6, Paraná 3100, Entre Ríos",+54 9 3400 3107,bianca55@example.com
4,"Sanchez, Martinez and Suarez","Blv. Santa Fe N° 952, San Luis 5700, San Luis",+54 15 2101 3659,zoe-jazmingomez@example.com
5,Cardozo LLC,"Diagonal Chaco N° 4491, Corrientes 3400, Corrientes",+54 15 2852 0178,gomezmalena@example.com
6,"Olivera, Diaz and Muñoz","Diagonal Mendoza N° 561 Oficina 7, Constitución 1004, Ciudad Autónoma de Buenos Aires",+54 9 3451 9919,ojedacandela@example.com
7,Navarro and Sons,"Calle Santa Fe N° 96, Neuquén 8300, Neuquén",+54 9 3862 6482,catalinagonzalez@example.net
8,Ojeda-Alvarez,"Avenida J.M. de Rosas N° 757, San Ferando del Valle de Catamarca 4700, Catamarca",+54 15 2835 0471,benjamin-alejandro81@example.com
9,"Vazquez, Diaz and Perez","Camino Santiago del Estero N° 235 Oficina 60, San Salvador de Jujuy 4600, Jujuy",+54 15 2352 8366,hernandezjoaquin@example.net
10,"Muñoz, Martinez and Barrios","Boulevard J.M. de Rosas N° 625 Dto. 3, Rawson 9103, Chubut",+54 9 3489 3850,candelatorres@example.org
11,Sanchez and Sons,"Av. 3 N° 446, San Juan 5400, San Juan",+54 15 2298 2274,krodriguez@example.com
12,Fernandez-Garcia,"Blv. Belgrano N° 359, Comodoro Rivadavia 9000, Chubut",+54 15 2802 9540,romeroema@example.org
13,Soto-Campos,"Diagonal Omar Nuñez N° 223 Oficina 78, Río Gallegos 9400, Santa Cruz",+54 15 2627 6142,rodriguezcatalina@example.com
14,Rodriguez-Fernandez,"Diag. Alvear N° 5784, Mar del Plata 7600, Buenos Aires",+54 9 3568 5539,lopezian-benjamin@example.com
15,"Gonzalez, Aguero and Benitez","Av. Buenos Aires N° 863 Piso 6 Dto. 3, Mendoza 5500, Mendoza",+54 9 3431 9988,oriana54@example.com
16,"Torres, Caceres and Gonzalez","Diagonal Mendoza N° 461, Rosario 2000, Santa Fe",+54 15 2258 1671,rodriguezvalentin@example.org
17,"Perez, Ojeda and Ojeda","Blv. J.M. de Rosas N° 934 Local 88, San Ferando del Valle de Catamarca 4700, Catamarca",+54 15 2127 4348,mateo-valentin59@example.org
18,Caceres-Rodriguez,"Diagonal Alem N° 563 Dto. 3, Santa Rosa 6300, La Pampa",+54 9 3811 7124,juan-ignacioalvarez@example.net
19,Roldan-Acuña,"Calle Alem N° 567, Chilecito 5360, La Rioja",+54 15 2112 1620,valentinabenitez@example.org
20,Chavez-Gonzalez,"Calle San Martin N° 11, Bahía Blanca 8000, Buenos Aires",+54 15 2640 7586,romerofaustino@example.net
